event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,date,r_edge_count,b_edge_count,success
UFC 254: Khabib vs. Gaethje,Magomed Ankalaev,Ion Cutelaba,Red,Light Heavyweight,0,Men,KO/TKO,1,3.0,259,Anders Ohlsson,2,21,41,0.51,21,41,0.51,0,0,0.0,0,0,5,19,1,31.0,190.5,92.99,190.5,Orthodox,3.64,2.25,0.53,0.31,0.59,0.86,0.0,1.02,0,11,36,0.3,11,36,0.31,0,0,0.0,0,0,0,17,10,30.0,185.42,92.99,190.5,Southpaw,4.44,3.43,0.43,0.57,0.47,0.76,0.0,4.17,2,10,5,0.21,10,5,0.2,0,0,0.0,0,0,5,2,-9,1.0,5.0800000000000125,0.0,0.0,-0.8000000000000003,-1.1800000000000002,0.1,-0.2599999999999999,0.12,0.0999999999999999,0.0,-3.15,2020-10-24,0,3,1
UFC Fight Night: Hall vs. Silva,Dustin Jacoby,Justin Ledet,Red,Light Heavyweight,0,Men,KO/TKO,1,3.0,158,Chris Tognoni,2,22,38,0.57,22,38,0.58,0,0,0.0,0,0,11,19,8,35.0,190.5,92.99,193.04,Orthodox,5.53,4.07,0.47,0.25,0.57,0.6,0.0,0.36,0,10,31,0.32,10,31,0.32,0,0,0.0,0,0,0,9,4,35.0,193.04,92.99,203.2,Orthodox,3.35,4.82,0.39,0.5,0.49,0.42,0.2,0.23,2,12,7,0.2499999999999999,12,7,0.2599999999999999,0,0,0.0,0,0,11,10,4,0.0,-2.539999999999992,0.0,-10.159999999999997,2.18,-0.75,0.0799999999999999,-0.25,0.0799999999999999,0.18,-0.2,0.1299999999999999,2020-10-31,0,0,1
UFC Fight Night: Santos vs. Teixeira,Thiago Santos,Glover Teixeira,Blue,Light Heavyweight,0,Men,Submission,3,5.0,109,Herb Dean,1,40,64,0.62,81,109,0.74,0,0,0.0,0,0,78,22,11,40.0,187.96,92.99,193.04,Orthodox,3.72,2.57,0.48,0.33,0.53,0.65,0.1,0.88,0,46,63,0.73,148,180,0.82,4,7,0.57,2,0,543,33,9,44.0,187.96,92.99,193.04,Orthodox,3.73,4.43,0.49,0.33,0.51,0.6,0.9,2.11,1,-6,1,-0.1099999999999999,-67,-71,-0.0799999999999999,-4,-7,-0.57,-2,0,-465,-11,2,-4.0,0.0,0.0,0.0,-0.0099999999999997,-1.86,-0.01,0.0,0.02,0.05,-0.8,-1.23,2020-11-07,0,11,0
UFC 255: Figueiredo vs. Perez,Mauricio Rua,Paul Craig,Blue,Light Heavyweight,0,Men,KO/TKO,2,3.0,216,Herb Dean,0,10,28,0.35,25,46,0.54,0,0,0.0,0,0,104,27,14,42.0,185.42,92.99,193.04,Orthodox,3.57,2.79,0.5,0.48,0.54,0.49,0.7,2.01,0,29,57,0.5,54,88,0.61,4,8,0.5,0,1,226,17,7,36.0,190.5,83.91,193.04,Orthodox,2.42,2.86,0.46,0.22,0.45,0.37,1.6,1.76,0,-19,-29,-0.15,-29,-42,-0.0699999999999999,-4,-8,-0.5,0,-1,-122,10,7,6.0,-5.0800000000000125,9.079999999999998,0.0,1.15,-0.0699999999999998,0.0399999999999999,0.26,0.09,0.12,-0.9000000000000001,0.2499999999999997,2020-11-21,14,2,1
UFC Fight Night: Smith vs. Clark,Anthony Smith,Devin Clark,Red,Light Heavyweight,0,Men,Submission,1,5.0,154,Herb Dean,0,1,4,0.25,4,8,0.5,1,1,1.0,1,0,78,37,19,35.0,193.04,92.99,193.04,Orthodox,3.21,4.47,0.48,0.26,0.46,0.48,0.6,0.49,0,1,3,0.33,27,30,0.9,0,0,0.0,0,1,67,14,9,33.0,182.88,92.99,190.5,Orthodox,3.03,3.24,0.54,0.32,0.44,0.58,0.1,2.17,0,0,1,-0.08,-23,-22,-0.4,1,1,1.0,1,-1,11,23,10,2.0,10.159999999999997,0.0,2.539999999999992,0.1800000000000001,1.2299999999999995,-0.06,-0.06,0.02,-0.0999999999999999,0.5,-1.68,2020-11-28,0,1,1
UFC Fight Night: Hermansson vs. Vettori,Ovince Saint Preux,Jamahal Hill,Blue,Light Heavyweight,0,Men,KO/TKO,2,3.0,217,Jason Herzog,0,36,72,0.5,37,73,0.51,0,0,0.0,0,0,0,27,17,40.0,190.5,92.99,203.2,Southpaw,3.03,3.32,0.47,0.36,0.47,0.67,0.5,1.1,0,68,128,0.53,68,128,0.53,0,0,0.0,0,0,15,12,1,32.0,193.04,92.99,200.66,Southpaw,7.31,3.35,0.54,0.0,0.47,0.73,0.0,0.0,0,-32,-56,-0.03,-31,-55,-0.02,0,0,0.0,0,0,-15,15,16,8.0,-2.539999999999992,0.0,2.539999999999992,-4.279999999999999,-0.0300000000000002,-0.07,0.36,0.0,-0.0599999999999999,0.5,1.1,2020-12-05,0,11,0
UFC Fight Night: Hermansson vs. Vettori,Roman Dolidze,John Allan,Red,Light Heavyweight,0,Men,Decision - Split,3,3.0,300,Herb Dean,0,51,109,0.46,118,205,0.58,3,5,0.6,3,0,436,12,3,35.0,187.96,83.91,193.04,Orthodox,2.62,3.36,0.39,0.4,0.51,0.33,1.3,1.3,0,29,86,0.33,48,117,0.41,1,1,1.0,0,0,15,13,7,31.0,185.42,92.99,190.5,Orthodox,3.56,5.74,0.42,0.71,0.52,0.5,0.8,1.4,0,22,23,0.13,70,88,0.1699999999999999,2,4,-0.4,3,0,421,-1,-4,4.0,2.5400000000000205,-9.079999999999998,2.539999999999992,-0.94,-2.3800000000000003,-0.0299999999999999,-0.3099999999999999,-0.01,-0.1699999999999999,0.5,-0.0999999999999998,2020-12-05,0,0,0
UFC Fight Night: Chiesa vs. Magny,Ike Villanueva,Vinicius Moreira,Red,Light Heavyweight,0,Men,KO/TKO,2,3.0,39,Jason Herzog,1,24,56,0.42,24,56,0.43,0,0,0.0,0,0,0,18,14,39.0,185.42,92.99,185.42,Orthodox,3.66,7.24,0.38,0.5,0.36,1.0,0.0,0.6,0,24,42,0.57,24,42,0.57,0,0,0.0,0,0,0,9,5,35.0,193.04,92.99,193.04,Orthodox,3.15,5.07,0.59,0.18,0.43,0.0,1.3,1.97,1,0,14,-0.1499999999999999,0,14,-0.1399999999999999,0,0,0.0,0,0,0,9,9,4.0,-7.6200000000000045,0.0,-7.6200000000000045,0.5100000000000002,2.17,-0.2099999999999999,0.32,-0.07,1.0,-1.3,-1.37,2021-01-20,0,0,1
UFC 257: Poirier vs. McGregor,Khalil Rountree Jr.,Marcin Prachnio,Blue,Light Heavyweight,0,Men,Decision - Unanimous,3,3.0,300,Herb Dean,0,49,148,0.33,50,149,0.34,0,0,0.0,0,0,0,14,5,34.0,185.42,92.99,193.04,Southpaw,3.84,4.18,0.39,0.0,0.5,0.58,0.1,0.0,0,102,216,0.47,105,220,0.48,0,2,0.0,0,0,5,17,7,35.0,190.5,92.99,187.96,Orthodox,5.61,3.3,0.55,0.2,0.54,0.58,0.0,0.17,0,-53,-68,-0.1399999999999999,-55,-71,-0.1399999999999999,0,-2,0.0,0,0,-5,-3,-2,-1.0,-5.0800000000000125,0.0,5.079999999999984,-1.7700000000000005,0.8799999999999999,-0.16,-0.2,-0.04,0.0,0.1,-0.17,2021-01-23,2,0,1
UFC Fight Night: Overeem vs. Volkov,Mike Rodriguez,Danilo Marques,Blue,Light Heavyweight,0,Men,Submission,2,3.0,292,Jason Herzog,0,16,24,0.66,34,43,0.79,0,0,0.0,0,0,4,11,7,35.0,193.04,92.99,208.28,Southpaw,4.35,4.24,0.53,0.0,0.41,0.37,0.0,0.0,0,29,29,1.0,55,58,0.95,4,7,0.57,2,0,459,11,4,38.0,198.12,92.99,195.58,Orthodox,1.44,2.52,0.79,0.28,0.52,0.0,0.8,3.93,0,-13,-5,-0.3399999999999999,-21,-15,-0.1599999999999999,-4,-7,-0.57,-2,0,-455,0,3,-3.0,-5.0800000000000125,0.0,12.699999999999989,2.9099999999999997,1.7200000000000002,-0.26,-0.28,-0.11,0.37,-0.8,-3.93,2021-02-06,0,0,0
