event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,date,r_edge_count,b_edge_count,success
UFC 249: Ferguson vs. Gaethje,Anthony Pettis,Donald Cerrone,Red,Welterweight,0,Men,Decision - Unanimous,3,3.0,300,Keith Peterson,0,63,113,0.55,81,133,0.61,0,1,0.0,0,0,0,24,10,37.0,177.8,70.31,182.88,Orthodox,3.05,3.44,0.47,0.5,0.54,0.6,1.1,0.61,0,62,148,0.41,62,148,0.42,2,8,0.25,0,0,106,36,17,40.0,185.42,70.31,185.42,Orthodox,4.41,4.48,0.46,0.33,0.53,0.73,1.2,1.16,0,1,-35,0.14,19,-15,0.19,-2,-7,-0.25,0,0,-106,-12,-7,-3.0,-7.619999999999976,0.0,-2.539999999999992,-1.3600000000000003,-1.0400000000000005,0.0099999999999999,0.1699999999999999,0.01,-0.13,-0.0999999999999998,-0.5499999999999999,2020-05-09,3,0,1
UFC Fight Night: Overeem vs. Harris,Matt Brown,Miguel Baeza,Blue,Welterweight,0,Men,KO/TKO,2,3.0,18,Jason Herzog,0,33,61,0.54,33,61,0.54,0,0,0.0,0,0,10,26,19,43.0,182.88,77.11,190.5,Orthodox,3.76,2.92,0.55,0.46,0.55,0.63,1.3,1.68,2,37,73,0.5,42,79,0.53,0,0,0.0,0,0,57,10,3,31.0,187.96,77.11,187.96,Orthodox,4.88,5.1,0.49,0.28,0.53,1.0,1.8,0.44,-2,-4,-12,0.04,-9,-18,0.01,0,0,0.0,0,0,-47,16,16,12.0,-5.0800000000000125,0.0,2.539999999999992,-1.12,-2.1799999999999997,0.06,0.18,0.02,-0.37,-0.5,1.24,2020-05-16,0,22,0
UFC Fight Night: Woodley vs. Burns,Daniel Rodriguez,Gabe Green,Red,Welterweight,0,Men,Decision - Unanimous,3,3.0,300,Mark Smith,0,175,344,0.5,175,345,0.51,1,1,1.0,0,0,27,17,4,37.0,185.42,77.11,187.96,Southpaw,7.3,5.28,0.5,0.5,0.56,0.63,0.1,0.62,0,127,273,0.46,127,273,0.47,0,0,0.0,0,0,11,11,5,30.0,177.8,70.31,185.42,Switch,6.28,6.95,0.45,0.5,0.47,0.53,0.3,0.83,0,48,71,0.0399999999999999,48,72,0.04,1,1,1.0,0,0,16,6,-1,7.0,7.619999999999976,6.799999999999997,2.5400000000000205,1.0199999999999996,-1.67,0.0499999999999999,0.0,0.09,0.0999999999999999,-0.1999999999999999,-0.2099999999999999,2020-05-30,0,0,1
UFC Fight Night: Woodley vs. Burns,Tyron Woodley,Gilbert Burns,Blue,Welterweight,0,Men,Decision - Unanimous,5,5.0,300,Herb Dean,0,28,64,0.43,65,101,0.64,0,2,0.0,0,0,167,19,7,41.0,175.26,77.11,187.96,Orthodox,2.36,2.76,0.48,0.4,0.54,0.87,0.4,1.06,0,83,138,0.6,156,211,0.74,2,8,0.25,1,0,478,22,7,37.0,177.8,77.11,180.34,Orthodox,3.29,3.42,0.48,0.38,0.54,0.5,0.5,2.24,0,-55,-74,-0.1699999999999999,-91,-110,-0.0999999999999999,-2,-6,-0.25,-1,0,-311,-3,0,4.0,-2.5400000000000205,0.0,7.6200000000000045,-0.9300000000000002,-0.6600000000000001,0.0,0.02,0.0,0.37,-0.0999999999999999,-1.1800000000000002,2020-05-30,7,1,1
UFC 250: Nunes vs. Spencer,Neil Magny,Anthony Rocco Martin,Red,Welterweight,0,Men,Decision - Unanimous,3,3.0,300,Mark Smith,0,64,110,0.58,82,130,0.63,0,6,0.0,0,0,139,29,12,36.0,190.5,77.11,203.2,Orthodox,3.47,2.42,0.46,0.4,0.52,0.54,0.3,2.17,0,37,82,0.45,46,91,0.51,1,2,0.5,0,0,297,17,6,34.0,182.88,77.11,185.42,Orthodox,2.68,2.59,0.37,0.27,0.58,0.68,1.0,0.71,0,27,28,0.1299999999999999,36,39,0.12,-1,4,-0.5,0,0,-158,12,6,2.0,7.6200000000000045,0.0,17.78,0.79,-0.1699999999999999,0.09,0.13,-0.0599999999999999,-0.14,-0.7,1.46,2020-06-06,0,15,1
UFC Fight Night: Eye vs. Calvillo,Anthony Ivy,Christian Aguilera,Blue,Welterweight,0,Men,KO/TKO,1,3.0,59,Dan Miragliotta,0,4,11,0.36,4,11,0.36,0,0,0.0,0,0,0,8,4,34.0,187.96,83.91,187.96,Orthodox,2.5,4.57,0.42,0.2,0.51,1.0,0.0,4.69,0,10,23,0.43,10,23,0.43,0,0,0.0,0,0,0,14,8,32.0,175.26,77.11,182.88,Switch,2.54,4.04,0.37,0.0,0.48,0.6,0.0,0.0,0,-6,-12,-0.07,-6,-12,-0.07,0,0,0.0,0,0,0,-6,-4,2.0,12.700000000000015,6.799999999999997,5.0800000000000125,-0.04,0.5300000000000002,0.0499999999999999,0.2,0.03,0.4,0.0,4.69,2020-06-13,0,0,1
UFC Fight Night: Blaydes vs. Volkov,Belal Muhammad,Lyman Good,Red,Welterweight,0,Men,Decision - Unanimous,3,3.0,300,Chris Tognoni,0,82,172,0.47,86,176,0.49,2,8,0.25,0,0,104,23,3,35.0,180.34,77.11,182.88,Orthodox,4.55,3.64,0.43,0.35,0.57,0.93,0.2,1.98,0,81,172,0.47,84,175,0.48,0,0,0.0,0,0,7,21,6,38.0,182.88,77.11,187.96,Orthodox,5.34,4.01,0.48,1.0,0.63,0.75,0.0,0.27,0,1,0,0.0,2,1,0.01,2,8,0.25,0,0,97,2,-3,-3.0,-2.539999999999992,0.0,-5.0800000000000125,-0.79,-0.3699999999999996,-0.0499999999999999,-0.65,-0.06,0.18,0.2,1.71,2020-06-20,1,3,1
UFC Fight Night: Poirier vs. Hooker,Takashi Sato,Jason Witt,Red,Welterweight,0,Men,KO/TKO,1,3.0,48,Chris Tognoni,1,18,21,0.85,18,21,0.86,0,0,0.0,0,0,11,16,7,33.0,177.8,77.11,185.42,Southpaw,2.21,3.73,0.41,0.37,0.44,0.6,0.0,0.76,0,2,5,0.4,2,5,0.4,0,1,0.0,0,0,0,19,9,37.0,177.8,77.11,177.8,Orthodox,2.15,2.54,0.44,0.48,0.52,1.0,0.9,6.9,1,16,16,0.4499999999999999,16,16,0.4599999999999999,0,-1,0.0,0,0,11,-3,-2,-4.0,0.0,0.0,7.619999999999976,0.06,1.19,-0.03,-0.1099999999999999,-0.08,-0.4,-0.9,-6.140000000000001,2020-06-27,0,0,1
UFC Fight Night: Poirier vs. Hooker,Mike Perry,Mickey Gall,Red,Welterweight,0,Men,Decision - Unanimous,3,3.0,300,Keith Peterson,1,76,131,0.58,103,158,0.65,1,1,1.0,0,0,344,14,8,32.0,177.8,77.11,180.34,Orthodox,4.32,5.16,0.47,0.4,0.52,0.78,0.2,0.81,0,55,106,0.51,59,111,0.53,0,6,0.0,0,1,51,7,5,32.0,187.96,77.11,187.96,Switch,2.94,4.25,0.46,0.3,0.49,0.36,1.9,1.21,1,21,25,0.0699999999999999,44,47,0.12,1,-5,1.0,0,-1,293,7,3,0.0,-10.159999999999997,0.0,-7.6200000000000045,1.3800000000000003,0.91,0.0099999999999999,0.1,0.03,0.42,-1.7,-0.3999999999999999,2020-06-27,2,2,0
UFC 251: Usman vs. Masvidal,Elizeu Zaleski dos Santos,Muslim Salikhov,Blue,Welterweight,0,Men,Decision - Split,3,3.0,300,Herb Dean,0,46,138,0.33,46,138,0.33,0,4,0.0,0,0,53,24,7,37.0,180.34,77.11,185.42,Orthodox,4.52,3.33,0.42,0.13,0.57,0.68,0.4,0.43,0,40,88,0.45,40,88,0.45,0,3,0.0,0,0,2,19,5,39.0,180.34,77.11,177.8,Orthodox,3.36,2.94,0.51,0.4,0.62,0.73,0.0,1.27,0,6,50,-0.12,6,50,-0.12,0,1,0.0,0,0,51,5,2,-2.0,0.0,0.0,7.619999999999976,1.1599999999999997,0.3900000000000001,-0.09,-0.27,-0.05,-0.0499999999999999,0.4,-0.8400000000000001,2020-07-11,3,0,0
