event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,date,r_edge_count,b_edge_count,success
UFC 261: Usman vs. Masvidal 2,Uriah Hall,Chris Weidman,Red,Middleweight,0,Men,KO/TKO,1,3.0,17,Herb Dean,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,18,11,39.0,182.88,83.91,200.66,Orthodox,3.23,3.85,0.48,0.38,0.54,0.64,0.1,0.54,0,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,15,7,39.0,187.96,83.91,198.12,Orthodox,2.98,3.27,0.43,0.43,0.5,0.65,0.8,3.6,0,-1,-2,-0.5,-1,-2,-0.5,0,0,0.0,0,0,0,3,4,0.0,-5.0800000000000125,0.0,2.539999999999992,0.25,0.5800000000000001,0.0499999999999999,-0.0499999999999999,0.04,-0.01,-0.7000000000000001,-3.06,2021-04-24,6,10,1
UFC 261: Usman vs. Masvidal 2,Karl Roberson,Brendan Allen,Blue,Middleweight,0,Men,Submission,1,3.0,295,Dan Miragliotta,0,6,14,0.42,15,24,0.62,0,0,0.0,0,0,0,9,6,33.0,185.42,92.99,187.96,Southpaw,2.57,2.42,0.51,0.4,0.57,0.42,0.5,0.72,0,9,16,0.56,15,22,0.68,2,2,1.0,1,0,196,23,5,28.0,187.96,83.91,190.5,Orthodox,3.87,3.6,0.54,0.47,0.46,0.58,1.7,1.36,0,-3,-2,-0.14,0,2,-0.06,-2,-2,-1.0,-1,0,-196,-14,1,5.0,-2.5400000000000205,9.079999999999998,-2.539999999999992,-1.3000000000000005,-1.1800000000000002,-0.03,-0.0699999999999999,0.1099999999999999,-0.1599999999999999,-1.2,-0.6400000000000001,2021-04-24,0,0,1
UFC Fight Night: Reyes vs. Prochazka,Sean Strickland,Krzysztof Jotko,Red,Middleweight,0,Men,Decision - Unanimous,3,3.0,300,Herb Dean,0,84,182,0.46,84,182,0.46,0,0,0.0,0,0,0,28,6,33.0,185.42,83.91,193.04,Orthodox,5.91,4.33,0.41,0.64,0.62,0.77,0.2,0.85,0,37,196,0.18,37,196,0.19,0,1,0.0,0,0,0,24,6,34.0,185.42,83.91,195.58,Southpaw,2.98,2.23,0.42,0.39,0.57,0.82,0.1,1.33,0,47,-14,0.28,47,-14,0.27,0,-1,0.0,0,0,0,4,0,-1.0,0.0,0.0,-2.5400000000000205,2.93,2.1,-0.01,0.25,0.05,-0.0499999999999999,0.1,-0.4800000000000001,2021-05-01,2,7,1
UFC Fight Night: Reyes vs. Prochazka,Andreas Michailidis,KB Bhullar,Red,Middleweight,0,Men,Decision - Unanimous,3,3.0,300,Mark Smith,0,73,137,0.53,75,139,0.54,1,1,1.0,0,0,119,13,6,35.0,182.88,77.11,193.04,Orthodox,2.9,3.57,0.51,0.27,0.44,0.5,0.0,1.12,0,70,131,0.53,71,132,0.54,0,0,0.0,0,0,12,8,2,32.0,193.04,83.91,198.12,Switch,4.31,5.39,0.49,0.0,0.45,0.0,0.0,0.0,0,3,6,0.0,4,7,0.0,1,1,1.0,0,0,107,5,4,3.0,-10.159999999999997,-6.799999999999997,-5.0800000000000125,-1.4099999999999997,-1.82,0.02,0.27,-0.01,0.5,0.0,1.12,2021-05-01,0,0,1
UFC Fight Night: Rodriguez vs. Waterson,Phil Hawes,Kyle Daukaus,Red,Middleweight,0,Men,Decision - Unanimous,3,3.0,300,Mark Smith,0,66,101,0.65,157,210,0.75,2,4,0.5,1,0,334,12,6,35.0,182.88,83.91,195.58,Orthodox,5.33,3.72,0.59,0.34,0.55,0.9,0.2,2.11,0,28,82,0.34,52,113,0.46,0,7,0.0,0,1,253,11,4,31.0,190.5,83.91,193.04,Southpaw,3.22,2.94,0.52,0.25,0.42,0.82,1.9,2.12,0,38,19,0.31,105,97,0.29,2,-3,0.5,1,-1,81,1,2,4.0,-7.6200000000000045,0.0,2.5400000000000205,2.11,0.7800000000000002,0.0699999999999999,0.09,0.13,0.08,-1.7,-0.0100000000000002,2021-05-08,0,0,1
UFC Fight Night: Rodriguez vs. Waterson,JunYong Park,Tafon Nchukwi,Red,Middleweight,0,Men,Decision - Majority,3,3.0,300,Chris Tognoni,0,71,145,0.48,79,155,0.51,2,5,0.4,2,0,229,17,6,33.0,177.8,83.91,185.42,Orthodox,4.53,3.3,0.5,0.5,0.53,0.57,1.1,1.83,0,58,136,0.42,64,144,0.44,1,2,0.5,0,0,34,6,4,29.0,182.88,83.91,195.58,Orthodox,5.57,4.11,0.52,0.57,0.54,0.64,0.0,0.76,0,13,9,0.06,15,11,0.07,1,3,-0.0999999999999999,2,0,195,11,2,4.0,-5.079999999999984,0.0,-10.160000000000023,-1.04,-0.8100000000000005,-0.02,-0.0699999999999999,-0.01,-0.07,1.1,1.07,2021-05-08,0,0,1
UFC 262: Oliveira vs. Chandler,Jacare Souza,Andre Muniz,Blue,Middleweight,0,Men,Submission,1,3.0,239,Jacob Montalvo,0,11,19,0.57,15,23,0.65,1,2,0.5,0,0,53,26,10,44.0,185.42,83.91,182.88,Orthodox,2.53,2.83,0.47,0.39,0.62,0.57,1.3,2.57,0,7,12,0.58,19,26,0.73,2,3,0.66,1,0,70,24,6,34.0,185.42,83.91,198.12,Southpaw,1.97,1.99,0.5,0.5,0.54,0.35,1.2,4.23,0,4,7,-0.01,-4,-3,-0.0799999999999999,-1,-1,-0.16,-1,0,-17,2,4,10.0,0.0,0.0,-15.240000000000007,0.5599999999999998,0.8400000000000001,-0.03,-0.1099999999999999,0.0799999999999999,0.2199999999999999,0.1,-1.6600000000000006,2021-05-15,0,8,1
UFC 262: Oliveira vs. Chandler,Jordan Wright,Jamie Pickett,Red,Middleweight,0,Men,KO/TKO,1,3.0,64,Jeff Rexroad,1,26,32,0.81,33,40,0.82,0,0,0.0,0,0,11,12,5,32.0,187.96,92.99,195.58,Orthodox,4.1,6.03,0.56,0.45,0.31,1.0,0.4,2.09,0,4,5,0.8,4,5,0.8,0,0,0.0,0,0,12,13,11,35.0,187.96,83.91,203.2,Orthodox,2.65,3.62,0.47,0.4,0.5,0.67,0.1,1.26,1,22,27,0.01,29,35,0.0199999999999999,0,0,0.0,0,0,-1,-1,-6,-3.0,0.0,9.079999999999998,-7.619999999999976,1.4499999999999995,2.41,0.09,0.0499999999999999,-0.19,0.3299999999999999,0.3,0.8299999999999998,2021-05-15,0,0,0
UFC Fight Night: Font vs. Garbrandt,Jack Hermansson,Edmen Shahbazyan,Red,Middleweight,0,Men,Decision - Unanimous,3,3.0,300,Herb Dean,0,55,100,0.55,141,192,0.73,3,6,0.5,0,0,431,24,8,35.0,185.42,83.91,195.58,Orthodox,5.09,3.69,0.44,0.3,0.56,0.8,0.4,1.53,0,40,92,0.43,42,94,0.45,0,0,0.0,1,1,111,13,4,26.0,187.96,83.91,190.5,Orthodox,3.6,4.09,0.52,0.38,0.45,0.63,0.6,2.24,0,15,8,0.12,99,98,0.2799999999999999,3,6,0.5,-1,-1,320,11,4,9.0,-2.5400000000000205,0.0,5.0800000000000125,1.4899999999999998,-0.3999999999999999,-0.08,-0.08,0.11,0.17,-0.1999999999999999,-0.7100000000000002,2021-05-22,0,2,1
UFC Fight Night: Rozenstruik vs. Sakai,Dusko Todorovic,Gregory Rodrigues,Blue,Middleweight,0,Men,Decision - Unanimous,3,3.0,300,Mark Smith,0,37,120,0.3,46,133,0.35,0,4,0.0,0,0,86,12,4,29.0,185.42,83.91,187.96,Orthodox,5.54,4.55,0.57,0.12,0.46,0.45,0.0,0.96,0,71,150,0.47,73,153,0.48,3,5,0.6,0,0,85,15,5,32.0,190.5,83.91,190.5,Orthodox,6.08,5.3,0.55,0.45,0.51,1.0,0.5,2.46,0,-34,-30,-0.1699999999999999,-27,-20,-0.13,-3,-1,-0.6,0,0,1,-3,-1,-3.0,-5.0800000000000125,0.0,-2.539999999999992,-0.54,-0.75,0.0199999999999999,-0.33,-0.0499999999999999,-0.55,-0.5,-1.5,2021-06-05,0,0,0
