event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,date,r_edge_count,b_edge_count,success
UFC 277: Pena vs. Nunes 2,Joselyne Edwards,Ji Yeon Kim,Red,Women's Bantamweight,0,Women,Decision - Split,3,3.0,300,Mike Beltran,0,101,234,0.43,116,250,0.46,1,3,0.33,0,0,121,13,5,28.0,172.72,61.23,177.8,Orthodox,4.71,3.36,0.52,0.33,0.5,0.64,0.3,1.0,0,78,193,0.4,87,203,0.43,0,0,0.0,0,0,19,9,7,34.0,170.18,56.7,182.88,Orthodox,5.37,5.41,0.36,0.0,0.56,0.5,0.1,0.0,0,23,41,0.0299999999999999,29,47,0.03,1,3,0.33,0,0,102,4,-2,-6.0,2.539999999999992,4.529999999999994,-5.079999999999984,-0.6600000000000001,-2.0500000000000003,0.16,0.33,-0.06,0.14,0.1999999999999999,1.0,2022-07-30,1,0,1
UFC Fight Night: Santos vs. Hill,Mayra Bueno Silva,Stephanie Egger,Red,Women's Bantamweight,0,Women,Submission,1,3.0,77,Chris Tognoni,0,4,4,1.0,4,4,1.0,0,0,0.0,1,0,0,10,3,32.0,167.64,61.23,167.64,Orthodox,3.84,4.86,0.57,0.38,0.53,0.68,1.6,0.68,0,8,13,0.61,12,17,0.71,1,1,1.0,0,0,44,8,5,35.0,167.64,61.23,172.72,Orthodox,2.2,2.48,0.46,0.42,0.52,0.5,0.6,2.48,0,-4,-9,0.39,-8,-13,0.29,-1,-1,-1.0,1,0,-44,2,-2,-3.0,0.0,0.0,-5.0800000000000125,1.6399999999999997,2.3800000000000003,0.1099999999999999,-0.0399999999999999,0.01,0.18,1.0,-1.7999999999999998,2022-08-06,0,0,0
UFC Fight Night: Vera vs. Cruz,Priscila Cachoeira,Ariane Lipski,Red,Women's Bantamweight,0,Women,KO/TKO,1,3.0,65,Herb Dean,1,20,35,0.57,20,35,0.57,0,0,0.0,0,0,11,12,6,35.0,170.18,56.7,165.1,Orthodox,3.76,7.03,0.44,0.33,0.43,0.65,0.0,0.15,0,4,15,0.26,4,15,0.27,0,0,0.0,0,0,0,17,8,30.0,167.64,56.7,170.18,Orthodox,4.27,4.23,0.4,0.55,0.52,0.79,0.4,0.64,1,16,20,0.3099999999999999,16,20,0.2999999999999999,0,0,0.0,0,0,11,-5,-2,5.0,2.5400000000000205,0.0,-5.0800000000000125,-0.5099999999999998,2.8,0.0399999999999999,-0.22,-0.09,-0.14,-0.4,-0.49,2022-08-13,0,0,1
UFC 278: Usman vs. Edwards,Wu Yanan,Lucie Pudilova,Blue,Women's Bantamweight,0,Women,KO/TKO,2,3.0,244,Herb Dean,0,26,42,0.61,32,48,0.67,0,0,0.0,0,0,4,13,6,27.0,172.72,61.23,167.64,Orthodox,4.23,4.95,0.41,0.3,0.49,0.63,0.2,0.62,0,39,81,0.48,51,96,0.53,2,3,0.66,1,0,293,14,9,29.0,172.72,61.23,170.18,Orthodox,3.68,3.83,0.37,0.27,0.51,0.66,0.7,0.55,0,-13,-39,0.13,-19,-48,0.14,-2,-3,-0.66,-1,0,-289,-1,-3,-2.0,0.0,0.0,-2.5400000000000205,0.5500000000000003,1.12,0.0399999999999999,0.0299999999999999,-0.02,-0.03,-0.4999999999999999,0.0699999999999999,2022-08-20,1,4,1
UFC 280: Oliveira vs. Makhachev,Karol Rosa,Lina Lansberg,Red,Women's Bantamweight,0,Women,Decision - Majority,3,3.0,300,Lukasz Bosacki,0,54,74,0.72,160,190,0.84,3,6,0.5,0,0,584,17,6,29.0,165.1,61.23,170.18,Orthodox,6.34,4.78,0.56,0.45,0.49,0.68,0.0,1.22,1,36,60,0.6,100,132,0.76,0,0,0.0,0,0,168,10,8,42.0,170.18,61.23,165.1,Orthodox,2.69,3.87,0.55,0.27,0.44,0.47,0.1,0.52,-1,18,14,0.12,60,58,0.0799999999999999,3,6,0.5,0,0,416,7,-2,-13.0,-5.0800000000000125,0.0,5.0800000000000125,3.65,0.91,0.01,0.18,0.0499999999999999,0.21,-0.1,0.7,2022-10-22,6,1,1
UFC Fight Night: Rodriguez vs. Lemos,Tamires Vidal,Ramona Pascual,Red,Women's Bantamweight,0,Women,KO/TKO,1,3.0,186,Chris Tognoni,1,17,29,0.58,22,34,0.65,0,1,0.0,0,0,56,7,2,25.0,167.64,61.23,172.72,Orthodox,4.25,4.53,0.55,0.0,0.58,0.4,0.8,0.0,0,13,14,0.92,17,18,0.94,0,0,0.0,0,0,23,6,5,35.0,170.18,61.23,167.64,Southpaw,3.87,8.43,0.57,0.19,0.46,1.0,0.0,1.81,1,4,15,-0.3400000000000001,5,16,-0.2899999999999999,0,1,0.0,0,0,33,1,-3,-10.0,-2.5400000000000205,0.0,5.0800000000000125,0.3799999999999999,-3.899999999999999,-0.0199999999999999,-0.19,0.1199999999999999,-0.6,0.8,-1.81,2022-11-05,0,0,1
UFC Fight Night: Strickland vs. Imavov,Ketlen Vieira,Raquel Pennington,Blue,Women's Bantamweight,0,Women,Decision - Split,3,3.0,300,Chris Tognoni,0,64,152,0.42,138,230,0.6,0,0,0.0,0,0,285,14,3,32.0,172.72,61.23,172.72,Orthodox,3.04,3.92,0.41,0.44,0.51,0.92,0.6,1.51,0,81,159,0.5,104,184,0.57,0,2,0.0,0,0,78,16,9,35.0,170.18,61.23,170.18,Orthodox,4.14,3.29,0.52,0.27,0.6,0.63,0.7,0.9,0,-17,-7,-0.08,34,46,0.03,0,-2,0.0,0,0,207,-2,-6,-3.0,2.539999999999992,0.0,2.539999999999992,-1.0999999999999996,0.6299999999999999,-0.11,0.1699999999999999,-0.0899999999999999,0.29,-0.0999999999999999,0.61,2023-01-14,10,4,0
UFC Fight Night: Andrade vs. Blanchfield,Lina Lansberg,Mayra Bueno Silva,Blue,Women's Bantamweight,0,Women,Submission,2,3.0,285,Jacob Montalvo,0,25,50,0.5,40,72,0.56,0,0,0.0,0,1,21,10,8,42.0,170.18,61.23,165.1,Orthodox,2.69,3.87,0.55,0.27,0.44,0.47,0.1,0.52,0,39,69,0.56,58,90,0.64,2,3,0.66,1,0,309,10,3,32.0,167.64,61.23,167.64,Orthodox,3.84,4.86,0.57,0.38,0.53,0.68,1.6,0.68,0,-14,-19,-0.06,-18,-18,-0.0799999999999999,-2,-3,-0.66,-1,1,-288,0,5,10.0,2.5400000000000205,0.0,-2.539999999999992,-1.15,-0.9900000000000002,-0.0199999999999999,-0.1099999999999999,-0.09,-0.21,-1.5,-0.16,2023-02-18,0,6,1
UFC Fight Night: Vera vs. Sandhagen,Holly Holm,Yana Santos,Red,Women's Bantamweight,0,Women,Decision - Unanimous,3,3.0,300,Jacob Montalvo,0,32,63,0.5,105,163,0.64,4,6,0.66,0,0,589,15,6,42.0,172.72,61.23,175.26,Southpaw,3.21,2.79,0.4,0.3,0.56,0.78,0.1,0.9,0,21,46,0.45,120,185,0.65,0,0,0.0,0,0,79,14,8,34.0,167.64,61.23,172.72,Orthodox,4.16,3.03,0.56,0.53,0.5,0.42,0.1,1.11,0,11,17,0.0499999999999999,-15,-22,-0.01,4,6,0.66,0,0,510,1,-2,8.0,5.0800000000000125,0.0,2.539999999999992,-0.9500000000000002,-0.2399999999999997,-0.16,-0.23,0.06,0.36,0.0,-0.21,2023-03-25,4,2,1
UFC Fight Night: Holloway vs. Allen,Joselyne Edwards,Lucie Pudilova,Red,Women's Bantamweight,0,Women,Decision - Split,3,3.0,300,Dwayne Bess,0,56,114,0.49,90,153,0.59,0,1,0.0,0,1,29,13,5,28.0,172.72,61.23,177.8,Orthodox,4.71,3.36,0.52,0.33,0.5,0.64,0.3,1.0,0,39,98,0.39,74,138,0.54,2,7,0.28,0,0,449,14,9,29.0,172.72,61.23,170.18,Orthodox,3.68,3.83,0.37,0.27,0.51,0.66,0.7,0.55,0,17,16,0.0999999999999999,16,15,0.0499999999999999,-2,-6,-0.28,0,1,-420,-1,-4,-1.0,0.0,0.0,7.6200000000000045,1.0299999999999998,-0.4700000000000002,0.15,0.06,-0.01,-0.02,-0.3999999999999999,0.4499999999999999,2023-04-15,4,0,1
