date,r_fighter,b_fighter,weight_class,,,,,,,,,,,,,,,
12/18/2021,Melissa Gatto,Sijara Eubanks,Women's Flyweight,,,,,,,,,,,,,,,
12/18/2021,Charles Jourdain,Andre Ewell,Featherweight,,,,,,,,,,,,,,,
12/18/2021,Raquel Pennington,Macy Chiasson,Women's Featherweight,,,,,,,,,,,,,,,
12/18/2021,Don'Tale Mayes,Josh Parisian,Heavyweight,,,,,,,,,,,,,,,
12/18/2021,Jordan Leavitt,Matt Sayles,Lightweight,,,,,,,,,,,,,,,
12/11/2021,Charles Oliveira,Dustin Poirier,Lightweight,,,,,,,,,,,,,,,
12/11/2021,Julianna Pena,Amanda Nunes,Women's Bantamweight,,,,,,,,,,,,,,,
12/11/2021,Geoff Neal,Santiago Ponzinibbio,Welterweight,,,,,,,,,,,,,,,
12/11/2021,Kai Kara-France,Cody Garbrandt,Flyweight,,,,,,,,,,,,,,,
12/11/2021,Sean O'Malley,Raulian Paiva,Bantamweight,,,,,,,,,,,,,,,
12/11/2021,Josh Emmett,Dan Ige,Featherweight,,,,,,,,,,,,,,,
12/11/2021,Dominick Cruz,Pedro Munhoz,Bantamweight,,,,,,,,,,,,,,,
12/11/2021,Tai Tuivasa,Augusto Sakai,Heavyweight,,,,,,,,,,,,,,,
12/11/2021,Bruno Silva,Jordan Wright,Middleweight,,,,,,,,,,,,,,,
12/11/2021,Andre Muniz,Eryk Anders,Middleweight,,,,,,,,,,,,,,,
12/11/2021,Erin Blanchfield,Miranda Maverick,Women's Flyweight,,,,,,,,,,,,,,,
12/11/2021,Ryan Hall,Darrick Minner,Featherweight,,,,,,,,,,,,,,,
12/11/2021,Tony Kelley,Randy Costa,Bantamweight,,,,,,,,,,,,,,,
12/11/2021,Gillian Robertson,Priscila Cachoeira,Women's Flyweight,,,,,,,,,,,,,,,
12/4/2021,Jose Aldo,Rob Font,Bantamweight,,,,,,,,,,,,,,,
12/4/2021,Rafael Fiziev,Brad Riddell,Lightweight,,,,,,,,,,,,,,,
12/4/2021,Jamahal Hill,Jimmy Crute,Light Heavyweight,,,,,,,,,,,,,,,
12/4/2021,Clay Guida,Leonardo Santos,Lightweight,,,,,,,,,,,,,,,
12/4/2021,Chris Curtis,Brendan Allen,Middleweight,,,,,,,,,,,,,,,
12/4/2021,Alex Morono,Mickey Gall,Welterweight,,,,,,,,,,,,,,,
12/4/2021,Dusko Todorovic,Maki Pitolo,Middleweight,,,,,,,,,,,,,,,
12/4/2021,Manel Kape,Zhalgas Zhumagulov,Flyweight,,,,,,,,,,,,,,,
12/4/2021,Bryan Barberena,Darian Weeks,Welterweight,,,,,,,,,,,,,,,
12/4/2021,Cheyanne Vlismas,Mallory Martin,Women's Strawweight,,,,,,,,,,,,,,,
12/4/2021,William Knight,Alonzo Menifield,Light Heavyweight,,,,,,,,,,,,,,,
12/4/2021,Claudio Puelles,Chris Gruetzemacher,Lightweight,,,,,,,,,,,,,,,
12/4/2021,Vince Morales,Louis Smolka,Bantamweight,,,,,,,,,,,,,,,
11/20/2021,Ketlen Vieira,Miesha Tate,Women's Bantamweight,,,,,,,,,,,,,,,
11/20/2021,Sean Brady,Michael Chiesa,Welterweight,,,,,,,,,,,,,,,
11/20/2021,Taila Santos,Joanne Wood,Women's Flyweight,,,,,,,,,,,,,,,
11/20/2021,Rani Yahya,Kyung Ho Kang,Bantamweight,,,,,,,,,,,,,,,
11/20/2021,Adrian Yanez,Davey Grant,Bantamweight,,,,,,,,,,,,,,,
11/20/2021,Pat Sabatini,Tucker Lutz,Featherweight,,,,,,,,,,,,,,,
11/20/2021,Rafa Garcia,Natan Levy,Lightweight,,,,,,,,,,,,,,,
11/20/2021,Loopy Godinez,Loma Lookboonmee,Women's Strawweight,,,,,,,,,,,,,,,
11/20/2021,Cody Durden,Aoriqileng,Flyweight,,,,,,,,,,,,,,,
11/20/2021,Shayilan Nuerdanbieke,Sean Soriano,Featherweight,,,,,,,,,,,,,,,
11/20/2021,Luana Pinheiro,Sam Hughes,Women's Strawweight,,,,,,,,,,,,,,,
11/13/2021,Max Holloway,Yair Rodriguez,Featherweight,,,,,,,,,,,,,,,
11/13/2021,Marcos Rogerio de Lima,Ben Rothwell,Heavyweight,,,,,,,,,,,,,,,
11/13/2021,Felicia Spencer,Leah Letson,Women's Featherweight,,,,,,,,,,,,,,,
11/13/2021,Khaos Williams,Miguel Baeza,Welterweight,,,,,,,,,,,,,,,
11/13/2021,Song Yadong,Julio Arce,Bantamweight,,,,,,,,,,,,,,,
11/13/2021,Joel Alvarez,Thiago Moises,Lightweight,,,,,,,,,,,,,,,
11/13/2021,Andrea Lee,Cynthia Calvillo,Women's Flyweight,,,,,,,,,,,,,,,
11/13/2021,Sean Woodson,Collin Anglin,Featherweight,,,,,,,,,,,,,,,
11/13/2021,Cortney Casey,Liana Jojua,Women's Flyweight,,,,,,,,,,,,,,,
11/13/2021,Rafael Alves,Marc Diakiese,Lightweight,,,,,,,,,,,,,,,
11/13/2021,Da Woon Jung,Kennedy Nzechukwu,Light Heavyweight,,,,,,,,,,,,,,,
11/6/2021,Kamaru Usman,Colby Covington,Welterweight,,,,,,,,,,,,,,,
11/6/2021,Rose Namajunas,Zhang Weili,Women's Strawweight,,,,,,,,,,,,,,,
11/6/2021,Marlon Vera,Frankie Edgar,Bantamweight,,,,,,,,,,,,,,,
11/6/2021,Shane Burgos,Billy Quarantillo,Featherweight,,,,,,,,,,,,,,,
11/6/2021,Justin Gaethje,Michael Chandler,Lightweight,,,,,,,,,,,,,,,
11/6/2021,Alex Pereira,Andreas Michailidis,Middleweight,,,,,,,,,,,,,,,
11/6/2021,Bobby Green,Al Iaquinta,Lightweight,,,,,,,,,,,,,,,
11/6/2021,Chris Curtis,Phil Hawes,Middleweight,,,,,,,,,,,,,,,
11/6/2021,Nassourdine Imavov,Edmen Shahbazyan,Middleweight,,,,,,,,,,,,,,,
11/6/2021,Ian Machado Garry,Jordan Williams,Welterweight,,,,,,,,,,,,,,,
11/6/2021,Chris Barnett,Gian Villante,Heavyweight,,,,,,,,,,,,,,,
11/6/2021,Dustin Jacoby,John Allan,Light Heavyweight,,,,,,,,,,,,,,,
11/6/2021,Melsik Baghdasaryan,Bruno Souza,Featherweight,,,,,,,,,,,,,,,
11/6/2021,Ode Osbourne,CJ Vergara,Flyweight,,,,,,,,,,,,,,,
10/30/2021,Glover Teixeira,Jan Blachowicz,Light Heavyweight,,,,,,,,,,,,,,,
10/30/2021,Petr Yan,Cory Sandhagen,Bantamweight,,,,,,,,,,,,,,,
10/30/2021,Islam Makhachev,Dan Hooker,Lightweight,,,,,,,,,,,,,,,
10/30/2021,Alexander Volkov,Marcin Tybura,Heavyweight,,,,,,,,,,,,,,,
10/30/2021,Khamzat Chimaev,Li Jingliang,Welterweight,,,,,,,,,,,,,,,
10/30/2021,Magomed Ankalaev,Volkan Oezdemir,Light Heavyweight,,,,,,,,,,,,,,,
10/30/2021,Amanda Ribas,Virna Jandiroba,Women's Strawweight,,,,,,,,,,,,,,,
10/30/2021,Zubaira Tukhugov,Ricardo Ramos,Featherweight,,,,,,,,,,,,,,,
10/30/2021,Albert Duraev,Roman Kopylov,Middleweight,,,,,,,,,,,,,,,
10/30/2021,Elizeu Zaleski dos Santos,Benoit Saint Denis,Welterweight,,,,,,,,,,,,,,,
10/30/2021,Michal Oleksiejczuk,Shamil Gamzatov,Light Heavyweight,,,,,,,,,,,,,,,
10/30/2021,Lerone Murphy,Makwan Amirkhani,Featherweight,,,,,,,,,,,,,,,
10/30/2021,Andre Petroski,Hu Yaozong,Middleweight,,,,,,,,,,,,,,,
10/30/2021,Tagir Ulanbekov,Allan Nascimento,Flyweight,,,,,,,,,,,,,,,
10/23/2021,Marvin Vettori,Paulo Costa,Light Heavyweight,,,,,,,,,,,,,,,
10/23/2021,Jessica-Rose Clark,Joselyne Edwards,Women's Bantamweight,,,,,,,,,,,,,,,
10/23/2021,Alex Caceres,SeungWoo Choi,Featherweight,,,,,,,,,,,,,,,
10/23/2021,Francisco Trinaldo,Dwight Grant,Welterweight,,,,,,,,,,,,,,,
10/23/2021,Nicolae Negumereanu,Ike Villanueva,Light Heavyweight,,,,,,,,,,,,,,,
10/23/2021,Gregory Rodrigues,JunYong Park,Middleweight,,,,,,,,,,,,,,,
10/23/2021,Mason Jones,David Onama,Lightweight,,,,,,,,,,,,,,,
10/23/2021,Tabatha Ricci,Maria Oliveira,Women's Strawweight,,,,,,,,,,,,,,,
10/23/2021,Jamie Pickett,Laureano Staropoli,Middleweight,,,,,,,,,,,,,,,
10/23/2021,Jai Herbert,Khama Worthy,Lightweight,,,,,,,,,,,,,,,
10/23/2021,Jeff Molina,Daniel Lacerda,Flyweight,,,,,,,,,,,,,,,
10/23/2021,Randa Markos,Livinha Souza,Women's Strawweight,,,,,,,,,,,,,,,
10/23/2021,Jonathan Martinez,Zviad Lazishvili,Bantamweight,,,,,,,,,,,,,,,
10/23/2021,Grant Dawson,Ricky Glenn,Lightweight,,,,,,,,,,,,,,,
10/16/2021,Norma Dumont,Aspen Ladd,Women's Featherweight,,,,,,,,,,,,,,,
10/16/2021,Andrei Arlovski,Carlos Felipe,Heavyweight,,,,,,,,,,,,,,,
10/16/2021,Jim Miller,Erick Gonzalez,Lightweight,,,,,,,,,,,,,,,
10/16/2021,Manon Fiorot,Mayra Bueno Silva,Women's Flyweight,,,,,,,,,,,,,,,
10/16/2021,Nate Landwehr,Ludovit Klein,Featherweight,,,,,,,,,,,,,,,
10/16/2021,Bruno Silva,Andrew Sanchez,Middleweight,,,,,,,,,,,,,,,
10/16/2021,Danny Roberts,Ramazan Emeev,Welterweight,,,,,,,,,,,,,,,
10/16/2021,Luana Carolina,Loopy Godinez,Women's Flyweight,,,,,,,,,,,,,,,
10/16/2021,Batgerel Danaa,Brandon Davis,Bantamweight,,,,,,,,,,,,,,,
10/16/2021,Ariane Carnelossi,Istela Nunes,Women's Strawweight,,,,,,,,,,,,,,,
10/9/2021,Marina Rodriguez,Mackenzie Dern,Women's Strawweight,,,,,,,,,,,,,,,
10/9/2021,Randy Brown,Jared Gooden,Welterweight,,,,,,,,,,,,,,,
10/9/2021,Matheus Nicolau,Tim Elliott,Flyweight,,,,,,,,,,,,,,,
10/9/2021,Mariya Agapova,Sabina Mazo,Women's Flyweight,,,,,,,,,,,,,,,
10/9/2021,Chris Gutierrez,Felipe Colares,Bantamweight,,,,,,,,,,,,,,,
10/9/2021,Alexandr Romanov,Jared Vanderaa,Heavyweight,,,,,,,,,,,,,,,
10/9/2021,Damon Jackson,Charles Rosa,Featherweight,,,,,,,,,,,,,,,
10/9/2021,Loopy Godinez,Silvana Gomez Juarez,Women's Strawweight,,,,,,,,,,,,,,,
10/9/2021,Steve Garcia,Charlie Ontiveros,Lightweight,,,,,,,,,,,,,,,
10/2/2021,Thiago Santos,Johnny Walker,Light Heavyweight,,,,,,,,,,,,,,,
10/2/2021,Niko Price,Alex Oliveira,Welterweight,,,,,,,,,,,,,,,
10/2/2021,Krzysztof Jotko,Misha Cirkunov,Middleweight,,,,,,,,,,,,,,,
10/2/2021,Alexander Hernandez,Mike Breeden,Lightweight,,,,,,,,,,,,,,,
10/2/2021,Jared Gordon,Joe Solecki,Lightweight,,,,,,,,,,,,,,,
10/2/2021,Casey O'Neill,Antonina Shevchenko,Women's Flyweight,,,,,,,,,,,,,,,
10/2/2021,Karol Rosa,Bethe Correia,Women's Bantamweight,,,,,,,,,,,,,,,
10/2/2021,Jamie Mullarkey,Devonte Smith,Lightweight,,,,,,,,,,,,,,,
10/2/2021,Douglas Silva de Andrade,Gaetano Pirrello,Bantamweight,,,,,,,,,,,,,,,
10/2/2021,Stephanie Egger,Shanna Young,Women's Bantamweight,,,,,,,,,,,,,,,
10/2/2021,Alejandro Perez,Johnny Eduardo,Bantamweight,,,,,,,,,,,,,,,
9/25/2021,Alexander Volkanovski,Brian Ortega,Featherweight,,,,,,,,,,,,,,,
9/25/2021,Valentina Shevchenko,Lauren Murphy,Women's Flyweight,,,,,,,,,,,,,,,
9/25/2021,Robbie Lawler,Nick Diaz,Middleweight,,,,,,,,,,,,,,,
9/25/2021,Curtis Blaydes,Jairzinho Rozenstruik,Heavyweight,,,,,,,,,,,,,,,
9/25/2021,Jessica Andrade,Cynthia Calvillo,Women's Flyweight,,,,,,,,,,,,,,,
9/25/2021,Merab Dvalishvili,Marlon Moraes,Bantamweight,,,,,,,,,,,,,,,
9/25/2021,Dan Hooker,Nasrat Haqparast,Lightweight,,,,,,,,,,,,,,,
9/25/2021,Chris Daukaus,Shamil Abdurakhimov,Heavyweight,,,,,,,,,,,,,,,
9/25/2021,Taila Santos,Roxanne Modafferi,Women's Flyweight,,,,,,,,,,,,,,,
9/25/2021,Jalin Turner,Uros Medic,Lightweight,,,,,,,,,,,,,,,
9/25/2021,Nick Maximov,Cody Brundage,Middleweight,,,,,,,,,,,,,,,
9/25/2021,Matthew Semelsberger,Martin Sano,Welterweight,,,,,,,,,,,,,,,
9/25/2021,Jonathan Pearce,Omar Morales,Featherweight,,,,,,,,,,,,,,,
9/18/2021,Anthony Smith,Ryan Spann,Light Heavyweight,,,,,,,,,,,,,,,
9/18/2021,Ion Cutelaba,Devin Clark,Light Heavyweight,,,,,,,,,,,,,,,
9/18/2021,Ariane Lipski,Mandy Bohm,Women's Flyweight,,,,,,,,,,,,,,,
9/18/2021,Arman Tsarukyan,Christos Giagos,Lightweight,,,,,,,,,,,,,,,
9/18/2021,Nate Maness,Tony Gravely,Bantamweight,,,,,,,,,,,,,,,
9/18/2021,Joaquin Buckley,Antonio Arroyo,Middleweight,,,,,,,,,,,,,,,
9/18/2021,Tafon Nchukwi,Mike Rodriguez,Light Heavyweight,,,,,,,,,,,,,,,
9/18/2021,Raquel Pennington,Pannie Kianzad,Women's Bantamweight,,,,,,,,,,,,,,,
9/18/2021,Rongzhu,Brandon Jenkins,Lightweight,,,,,,,,,,,,,,,
9/18/2021,Montel Jackson,JP Buys,Bantamweight,,,,,,,,,,,,,,,
9/18/2021,Erin Blanchfield,Sarah Alpar,Women's Flyweight,,,,,,,,,,,,,,,
9/18/2021,Carlston Harris,Impa Kasanganay,Welterweight,,,,,,,,,,,,,,,
9/18/2021,Hannah Goldy,Emily Whitmire,Women's Flyweight,,,,,,,,,,,,,,,
9/18/2021,Gustavo Lopez,Alatengheili,Bantamweight,,,,,,,,,,,,,,,
9/4/2021,Derek Brunson,Darren Till,Middleweight,,,,,,,,,,,,,,,
9/4/2021,Tom Aspinall,Serghei Spivac,Heavyweight,,,,,,,,,,,,,,,
9/4/2021,Alex Morono,David Zawada,Welterweight,,,,,,,,,,,,,,,
9/4/2021,Khalil Rountree Jr.,Modestas Bukauskas,Light Heavyweight,,,,,,,,,,,,,,,
9/4/2021,Paddy Pimblett,Luigi Vendramini,Lightweight,,,,,,,,,,,,,,,
9/4/2021,Molly McCann,Ji Yeon Kim,Women's Flyweight,,,,,,,,,,,,,,,
9/4/2021,Jack Shore,Liudvik Sholinian,Bantamweight,,,,,,,,,,,,,,,
9/4/2021,Julian Erosa,Charles Jourdain,Catch Weight,,,,,,,,,,,,,,,
9/4/2021,Marc-Andre Barriault,Dalcha Lungiambula,Middleweight,,,,,,,,,,,,,,,
8/28/2021,Giga Chikadze,Edson Barboza,Featherweight,,,,,,,,,,,,,,,
8/28/2021,Bryan Battle,Gilbert Urbina,Middleweight,,,,,,,,,,,,,,,
8/28/2021,Ricky Turcios,Brady Hiestand,Bantamweight,,,,,,,,,,,,,,,
8/28/2021,Daniel Rodriguez,Kevin Lee,Welterweight,,,,,,,,,,,,,,,
8/28/2021,Andre Petroski,Micheal Gillmore,Middleweight,,,,,,,,,,,,,,,
8/28/2021,Gerald Meerschaert,Makhmud Muradov,Middleweight,,,,,,,,,,,,,,,
8/28/2021,Abdul Razak Alhassan,Alessio Di Chirico,Middleweight,,,,,,,,,,,,,,,
8/28/2021,Wellington Turman,Sam Alvey,Middleweight,,,,,,,,,,,,,,,
8/28/2021,Dustin Jacoby,Darren Stewart,Light Heavyweight,,,,,,,,,,,,,,,
8/28/2021,JJ Aldrich,Vanessa Demopoulos,Women's Flyweight,,,,,,,,,,,,,,,
8/28/2021,Pat Sabatini,Jamall Emmers,Featherweight,,,,,,,,,,,,,,,
8/28/2021,Mana Martinez,Guido Cannetti,Bantamweight,,,,,,,,,,,,,,,
8/21/2021,Jared Cannonier,Kelvin Gastelum,Middleweight,,,,,,,,,,,,,,,
8/21/2021,Mark Madsen,Clay Guida,Lightweight,,,,,,,,,,,,,,,
8/21/2021,Parker Porter,Chase Sherman,Heavyweight,,,,,,,,,,,,,,,
8/21/2021,Saidyokub Kakhramonov,Trevin Jones,Bantamweight,,,,,,,,,,,,,,,
8/21/2021,Vinc Pichel,Austin Hubbard,Lightweight,,,,,,,,,,,,,,,
8/21/2021,Alexandre Pantoja,Brandon Royval,Flyweight,,,,,,,,,,,,,,,
8/21/2021,Austin Lingo,Luis Saldana,Featherweight,,,,,,,,,,,,,,,
8/21/2021,Brian Kelleher,Domingo Pilarte,Bantamweight,,,,,,,,,,,,,,,
8/21/2021,Josiane Nunes,Bea Malecki,Women's Bantamweight,,,,,,,,,,,,,,,
8/21/2021,William Knight,Fabio Cherant,Light Heavyweight,,,,,,,,,,,,,,,
8/21/2021,Ignacio Bahamondes,Roosevelt Roberts,Lightweight,,,,,,,,,,,,,,,
8/21/2021,Ramiz Brahimaj,Sasha Palatnikov,Welterweight,,,,,,,,,,,,,,,
8/7/2021,Ciryl Gane,Derrick Lewis,Heavyweight,,,,,,,,,,,,,,,
8/7/2021,Jose Aldo,Pedro Munhoz,Bantamweight,,,,,,,,,,,,,,,
8/7/2021,Vicente Luque,Michael Chiesa,Welterweight,,,,,,,,,,,,,,,
8/7/2021,Tecia Torres,Angela Hill,Women's Strawweight,,,,,,,,,,,,,,,
8/7/2021,Song Yadong,Casey Kenney,Bantamweight,,,,,,,,,,,,,,,
8/7/2021,Rafael Fiziev,Bobby Green,Lightweight,,,,,,,,,,,,,,,
8/7/2021,Vince Morales,Drako Rodriguez,Bantamweight,,,,,,,,,,,,,,,
8/7/2021,Alonzo Menifield,Ed Herman,Light Heavyweight,,,,,,,,,,,,,,,
8/7/2021,Jessica Penne,Karolina Kowalkiewicz,Women's Strawweight,,,,,,,,,,,,,,,
8/7/2021,Manel Kape,Ode Osbourne,Flyweight,,,,,,,,,,,,,,,
8/7/2021,Miles Johns,Anderson Dos Santos,Bantamweight,,,,,,,,,,,,,,,
8/7/2021,Melissa Gatto,Victoria Leonardo,Women's Flyweight,,,,,,,,,,,,,,,
8/7/2021,Johnny Munoz,Jamey Simmons,Bantamweight,,,,,,,,,,,,,,,
7/31/2021,Sean Strickland,Uriah Hall,Middleweight,,,,,,,,,,,,,,,
7/31/2021,Cheyanne Vlismas,Gloria de Paula,Women's Strawweight,,,,,,,,,,,,,,,
7/31/2021,Jared Gooden,Niklas Stolze,Welterweight,,,,,,,,,,,,,,,
7/31/2021,Melsik Baghdasaryan,Collin Anglin,Featherweight,,,,,,,,,,,,,,,
7/31/2021,Jason Witt,Bryan Barberena,Welterweight,,,,,,,,,,,,,,,
7/31/2021,Chris Gruetzemacher,Rafa Garcia,Lightweight,,,,,,,,,,,,,,,
7/31/2021,Jinh Yu Frey,Ashley Yoder,Women's Strawweight,,,,,,,,,,,,,,,
7/31/2021,Zarrukh Adashev,Ryan Benoit,Flyweight,,,,,,,,,,,,,,,
7/31/2021,Phil Rowe,Orion Cosce,Welterweight,,,,,,,,,,,,,,,
7/31/2021,Danny Chavez,Kai Kamaka,Featherweight,,,,,,,,,,,,,,,
7/24/2021,TJ Dillashaw,Cory Sandhagen,Bantamweight,,,,,,,,,,,,,,,
7/24/2021,Raulian Paiva,Kyler Phillips,Bantamweight,,,,,,,,,,,,,,,
7/24/2021,Darren Elkins,Darrick Minner,Featherweight,,,,,,,,,,,,,,,
7/24/2021,Maycee Barber,Miranda Maverick,Women's Flyweight,,,,,,,,,,,,,,,
7/24/2021,Adrian Yanez,Randy Costa,Bantamweight,,,,,,,,,,,,,,,
7/24/2021,Brendan Allen,Punahele Soriano,Middleweight,,,,,,,,,,,,,,,
7/24/2021,Nassourdine Imavov,Ian Heinisch,Middleweight,,,,,,,,,,,,,,,
7/24/2021,Mickey Gall,Jordan Williams,Welterweight,,,,,,,,,,,,,,,
7/24/2021,Julio Arce,Andre Ewell,Bantamweight,,,,,,,,,,,,,,,
7/24/2021,Sijara Eubanks,Elise Reed,Women's Flyweight,,,,,,,,,,,,,,,
7/24/2021,Diana Belbita,Hannah Goldy,Women's Strawweight,,,,,,,,,,,,,,,
7/17/2021,Islam Makhachev,Thiago Moises,Lightweight,,,,,,,,,,,,,,,
7/17/2021,Miesha Tate,Marion Reneau,Women's Bantamweight,,,,,,,,,,,,,,,
7/17/2021,Mateusz Gamrot,Jeremy Stephens,Lightweight,,,,,,,,,,,,,,,
7/17/2021,Rodolfo Vieira,Dustin Stoltzfus,Middleweight,,,,,,,,,,,,,,,
7/17/2021,Billy Quarantillo,Gabriel Benitez,Featherweight,,,,,,,,,,,,,,,
7/17/2021,Daniel Rodriguez,Preston Parsons,Welterweight,,,,,,,,,,,,,,,
7/17/2021,Amanda Lemos,Montserrat Conejo Ruiz,Women's Strawweight,,,,,,,,,,,,,,,
7/17/2021,Sergey Morozov,Khalid Taha,Bantamweight,,,,,,,,,,,,,,,
7/17/2021,Malcolm Gordon,Francisco Figueiredo,Flyweight,,,,,,,,,,,,,,,
7/10/2021,Dustin Poirier,Conor McGregor,Lightweight,,,,,,,,,,,,,,,
7/10/2021,Gilbert Burns,Stephen Thompson,Welterweight,,,,,,,,,,,,,,,
7/10/2021,Tai Tuivasa,Greg Hardy,Heavyweight,,,,,,,,,,,,,,,
7/10/2021,Irene Aldana,Yana Santos,Women's Bantamweight,,,,,,,,,,,,,,,
7/10/2021,Sean O'Malley,Kris Moutinho,Bantamweight,,,,,,,,,,,,,,,
7/10/2021,Max Griffin,Carlos Condit,Welterweight,,,,,,,,,,,,,,,
7/10/2021,Michel Pereira,Niko Price,Welterweight,,,,,,,,,,,,,,,
7/10/2021,Ilia Topuria,Ryan Hall,Featherweight,,,,,,,,,,,,,,,
7/10/2021,Dricus Du Plessis,Trevin Giles,Middleweight,,,,,,,,,,,,,,,
7/10/2021,Jennifer Maia,Jessica Eye,Women's Flyweight,,,,,,,,,,,,,,,
7/10/2021,Brad Tavares,Omari Akhmedov,Middleweight,,,,,,,,,,,,,,,
7/10/2021,Zhalgas Zhumagulov,Jerome Rivera,Flyweight,,,,,,,,,,,,,,,
6/26/2021,Ciryl Gane,Alexander Volkov,Heavyweight,,,,,,,,,,,,,,,
6/26/2021,Tanner Boser,Ovince Saint Preux,Heavyweight,,,,,,,,,,,,,,,
6/26/2021,Timur Valiev,Raoni Barcelos,Bantamweight,,,,,,,,,,,,,,,
6/26/2021,Tim Means,Nicolas Dalby,Welterweight,,,,,,,,,,,,,,,
6/26/2021,Renato Moicano,Jai Herbert,Lightweight,,,,,,,,,,,,,,,
6/26/2021,Kennedy Nzechukwu,Danilo Marques,Light Heavyweight,,,,,,,,,,,,,,,
6/26/2021,Shavkat Rakhmonov,Michel Prazeres,Welterweight,,,,,,,,,,,,,,,
6/26/2021,Jeremiah Wells,Warlley Alves,Welterweight,,,,,,,,,,,,,,,
6/26/2021,Marcin Prachnio,Ike Villanueva,Light Heavyweight,,,,,,,,,,,,,,,
6/26/2021,Julia Avila,Julija Stoliarenko,Women's Bantamweight,,,,,,,,,,,,,,,
6/26/2021,Charles Rosa,Justin Jaynes,Featherweight,,,,,,,,,,,,,,,
6/26/2021,Damir Hadzovic,Yancy Medeiros,Lightweight,,,,,,,,,,,,,,,
6/19/2021,Chan Sung Jung,Dan Ige,Featherweight,,,,,,,,,,,,,,,
6/19/2021,Serghei Spivac,Aleksei Oleinik,Heavyweight,,,,,,,,,,,,,,,
6/19/2021,Marlon Vera,Davey Grant,Bantamweight,,,,,,,,,,,,,,,
6/19/2021,SeungWoo Choi,Julian Erosa,Featherweight,,,,,,,,,,,,,,,
6/19/2021,Bruno Silva,Wellington Turman,Middleweight,,,,,,,,,,,,,,,
6/19/2021,Matt Brown,Dhiego Lima,Welterweight,,,,,,,,,,,,,,,
6/19/2021,Nicolae Negumereanu,Aleksa Camur,Light Heavyweight,,,,,,,,,,,,,,,
6/19/2021,Virna Jandiroba,Kanako Murata,Women's Strawweight,,,,,,,,,,,,,,,
6/19/2021,Khaos Williams,Matthew Semelsberger,Welterweight,,,,,,,,,,,,,,,
6/19/2021,Josh Parisian,Roque Martinez,Heavyweight,,,,,,,,,,,,,,,
6/19/2021,Ricky Glenn,Joaquim Silva,Lightweight,,,,,,,,,,,,,,,
6/19/2021,Casey O'Neill,Lara Procopio,Women's Flyweight,,,,,,,,,,,,,,,
6/12/2021,Israel Adesanya,Marvin Vettori,Middleweight,,,,,,,,,,,,,,,
6/12/2021,Brandon Moreno,Deiveson Figueiredo,Flyweight,,,,,,,,,,,,,,,
6/12/2021,Leon Edwards,Nate Diaz,Welterweight,,,,,,,,,,,,,,,
6/12/2021,Belal Muhammad,Demian Maia,Welterweight,,,,,,,,,,,,,,,
6/12/2021,Paul Craig,Jamahal Hill,Light Heavyweight,,,,,,,,,,,,,,,
6/12/2021,Brad Riddell,Drew Dober,Lightweight,,,,,,,,,,,,,,,
6/12/2021,Eryk Anders,Darren Stewart,Light Heavyweight,,,,,,,,,,,,,,,
6/12/2021,Lauren Murphy,Joanne Wood,Women's Flyweight,,,,,,,,,,,,,,,
6/12/2021,Movsar Evloev,Hakeem Dawodu,Featherweight,,,,,,,,,,,,,,,
6/12/2021,Pannie Kianzad,Alexis Davis,Women's Bantamweight,,,,,,,,,,,,,,,
6/12/2021,Terrance McKinney,Matt Frevola,Lightweight,,,,,,,,,,,,,,,
6/12/2021,Steven Peterson,Chase Hooper,Featherweight,,,,,,,,,,,,,,,
6/12/2021,Fares Ziam,Luigi Vendramini,Lightweight,,,,,,,,,,,,,,,
6/12/2021,Carlos Felipe,Jake Collier,Heavyweight,,,,,,,,,,,,,,,
6/5/2021,Jairzinho Rozenstruik,Augusto Sakai,Heavyweight,,,,,,,,,,,,,,,
6/5/2021,Marcin Tybura,Walt Harris,Heavyweight,,,,,,,,,,,,,,,
6/5/2021,Roman Dolidze,Laureano Staropoli,Middleweight,,,,,,,,,,,,,,,
6/5/2021,Santiago Ponzinibbio,Miguel Baeza,Welterweight,,,,,,,,,,,,,,,
6/5/2021,Gregory Rodrigues,Dusko Todorovic,Middleweight,,,,,,,,,,,,,,,
6/5/2021,Montana De La Rosa,Ariane Lipski,Women's Flyweight,,,,,,,,,,,,,,,
6/5/2021,Ilir Latifi,Tanner Boser,Heavyweight,,,,,,,,,,,,,,,
6/5/2021,Muslim Salikhov,Francisco Trinaldo,Welterweight,,,,,,,,,,,,,,,
6/5/2021,Kamuela Kirk,Makwan Amirkhani,Featherweight,,,,,,,,,,,,,,,
6/5/2021,Manon Fiorot,Tabatha Ricci,Women's Flyweight,,,,,,,,,,,,,,,
6/5/2021,Sean Woodson,Youssef Zalal,Featherweight,,,,,,,,,,,,,,,
6/5/2021,Claudio Puelles,Jordan Leavitt,Lightweight,,,,,,,,,,,,,,,
5/22/2021,Rob Font,Cody Garbrandt,Bantamweight,,,,,,,,,,,,,,,
5/22/2021,Carla Esparza,Yan Xiaonan,Women's Strawweight,,,,,,,,,,,,,,,
5/22/2021,Jared Vanderaa,Justin Tafa,Heavyweight,,,,,,,,,,,,,,,
5/22/2021,Norma Dumont,Felicia Spencer,Women's Featherweight,,,,,,,,,,,,,,,
5/22/2021,Ricardo Ramos,Bill Algeo,Featherweight,,,,,,,,,,,,,,,
