name,height,weight,reach,stance
Fares Ziam,185.42,70.31,190.5,Orthodox
Ronaldo Rodriguez,167.64,56.7,165.1,Orthodox
Denys Bondar,167.64,56.7,175.26,Orthodox
Victor Altamirano,172.72,56.7,177.8,Switch
Felipe dos Santos,170.18,56.7,177.8,Orthodox
Erik Silva,175.26,65.77,180.34,Orthodox
Muhammad Naimov,175.26,65.77,177.8,Orthodox
Alexander Volkanovski,167.64,65.77,180.34,Orthodox
Ilia Topuria,170.18,65.77,175.26,Orthodox
Robert Whittaker,182.88,83.91,185.42,Orthodox
Paulo Costa,185.42,83.91,182.88,Orthodox
Geoff Neal,180.34,77.11,190.5,Southpaw
Ian Machado Garry,190.5,77.11,187.96,Orthodox
Merab Dvalishvili,167.64,61.23,172.72,Orthodox
Henry Cejudo,162.56,61.23,162.56,Orthodox
Anthony Hernandez,182.88,83.91,190.5,Orthodox
Roman Kopylov,182.88,83.91,190.5,Southpaw
Amanda Lemos,162.56,52.16,165.1,Southpaw
Mackenzie Dern,162.56,52.16,160.02,Orthodox
Marcos Rogerio de Lima,185.42,114.76,190.5,Orthodox
Junior Tafa,190.5,108.86,190.5,Orthodox
Rinya Nakamura,170.18,61.23,172.72,Southpaw
Carlos Vera,167.64,61.23,175.26,Orthodox
Zhang Mingyang,187.96,92.99,190.5,Orthodox
Brendson Ribeiro,190.5,92.99,205.74,Orthodox
Josh Quinlan,182.88,77.11,182.88,Orthodox
Danny Barlow,187.96,77.11,200.66,Southpaw
Oban Elliott,182.88,77.11,182.88,Orthodox
Val Woodburn,172.72,77.11,187.96,Orthodox
Andrea Lee,167.64,56.7,175.26,Orthodox
Miranda Maverick,160.02,56.7,165.1,Southpaw
Jack Hermansson,185.42,83.91,195.58,Orthodox
Joe Pyfer,187.96,83.91,190.5,Orthodox
Dan Ige,170.18,65.77,180.34,Orthodox
Andre Fili,180.34,65.77,187.96,Orthodox
Robert Bryczek,182.88,83.91,190.5,Orthodox
Ihor Potieria,190.5,83.91,190.5,Southpaw
Brad Tavares,185.42,83.91,187.96,Orthodox
Gregory Rodrigues,190.5,83.91,190.5,Orthodox
Michael Johnson,177.8,70.31,185.42,Southpaw
Darrius Flowers,175.26,70.31,180.34,Orthodox
Rodolfo Vieira,182.88,83.91,185.42,Orthodox
Armen Petrosyan,190.5,83.91,180.34,Orthodox
Trevin Giles,182.88,77.11,187.96,Orthodox
Carlos Prates,185.42,77.11,198.12,Switch
Bolaji Oki,177.8,70.31,185.42,Orthodox
Timmy Cuamba,175.26,70.31,180.34,Orthodox
Loma Lookboonmee,154.94,52.16,154.94,Orthodox
Bruna Brasil,167.64,52.16,165.1,Orthodox
Devin Clark,182.88,92.99,190.5,Orthodox
Marcin Prachnio,190.5,92.99,187.96,Orthodox
Max Griffin,180.34,77.11,193.04,Orthodox
Jeremiah Wells,175.26,77.11,187.96,Switch
Zac Pauga,187.96,92.99,193.04,Orthodox
Bogdan Guskov,190.5,92.99,193.04,Orthodox
Fernie Garcia,170.18,61.23,170.18,Orthodox
Hyder Amil,175.26,65.77,177.8,Switch
Roman Dolidze,187.96,83.91,193.04,Orthodox
Nassourdine Imavov,190.5,83.91,190.5,Orthodox
Renato Moicano,180.34,70.31,182.88,Orthodox
Drew Dober,172.72,70.31,177.8,Southpaw
Randy Brown,190.5,77.11,198.12,Orthodox
Muslim Salikhov,180.34,77.11,177.8,Orthodox
Viviane Araujo,162.56,56.7,172.72,Orthodox
Natalia Silva,162.56,56.7,165.1,Southpaw
Gilbert Urbina,190.5,77.11,190.5,Orthodox
Charles Radtke,175.26,77.11,182.88,Orthodox
Molly McCann,162.56,52.16,157.48,Orthodox
Diana Belbita,170.18,52.16,172.72,Orthodox
Azat Maksum,170.18,56.7,177.8,Southpaw
Charles Johnson,175.26,56.7,177.8,Switch
Themba Gorimbo,185.42,77.11,195.58,Orthodox
Pete Rodriguez,175.26,77.11,180.34,Switch
JeongYeong Lee,177.8,65.77,185.42,Orthodox
Blake Bilder,172.72,65.77,172.72,Switch
Luana Carolina,167.64,56.7,175.26,Orthodox
Julija Stoliarenko,170.18,56.7,167.64,Orthodox
Landon Quinones,175.26,70.31,177.8,Southpaw
MarQuel Mederos,177.8,70.31,175.26,Orthodox
Thomas Petersen,185.42,119.75,187.96,Southpaw
Jamal Pogues,190.5,92.99,195.58,Orthodox
Sean Strickland,185.42,83.91,193.04,Orthodox
Dricus Du Plessis,185.42,83.91,193.04,Switch
Raquel Pennington,170.18,61.23,170.18,Orthodox
Mayra Bueno Silva,167.64,61.23,167.64,Orthodox
Neil Magny,190.5,77.11,203.2,Orthodox
Mike Malott,185.42,77.11,185.42,Orthodox
Chris Curtis,177.8,83.91,190.5,Orthodox
Marc-Andre Barriault,185.42,83.91,187.96,Orthodox
Arnold Allen,172.72,65.77,177.8,Southpaw
Movsar Evloev,170.18,65.77,182.88,Orthodox
Brad Katona,167.64,61.23,162.56,Orthodox
Garrett Armfield,167.64,61.23,177.8,Orthodox
Charles Jourdain,175.26,65.77,175.26,Switch
Sean Woodson,187.96,65.77,198.12,Orthodox
Serhiy Sidey,180.34,61.23,182.88,Switch
Ramon Taveras,172.72,61.23,177.8,Southpaw
Gillian Robertson,165.1,52.16,160.02,Orthodox
Polyana Viana,165.1,52.16,170.18,Orthodox
Yohan Lainesse,185.42,77.11,193.04,Orthodox
Sam Patterson,190.5,70.31,198.12,Orthodox
Jasmine Jasudavicius,170.18,56.7,172.72,Orthodox
Priscila Cachoeira,170.18,56.7,165.1,Orthodox
Malcolm Gordon,170.18,56.7,180.34,Switch
Jimmy Flick,170.18,56.7,172.72,Orthodox
Magomed Ankalaev,190.5,92.99,190.5,Orthodox
Johnny Walker,198.12,92.99,208.28,Orthodox
Jim Miller,172.72,70.31,180.34,Southpaw
Gabriel Benitez,172.72,70.31,180.34,Southpaw
Ricky Simon,167.64,61.23,175.26,Orthodox
Mario Bautista,175.26,61.23,175.26,Switch
Phil Hawes,182.88,83.91,195.58,Orthodox
Brunno Ferreira,177.8,83.91,182.88,Orthodox
Andrei Arlovski,190.5,108.86,195.58,Orthodox
Waldo Cortes-Acosta,193.04,117.93,198.12,Orthodox
Matthew Semelsberger,185.42,77.11,190.5,Switch
Preston Parsons,180.34,77.11,180.34,Orthodox
Marcus McGhee,172.72,61.23,175.26,Orthodox
Gaston Bolanos,170.18,61.23,175.26,Orthodox
Farid Basharat,172.72,61.23,180.34,Orthodox
Taylor Lapilus,167.64,61.23,185.42,Southpaw
Westin Wilson,185.42,65.77,185.42,Southpaw
Jean Silva,170.18,65.77,175.26,Orthodox
Nikolas Motta,175.26,70.31,177.8,Orthodox
Tom Nolan,190.5,70.31,185.42,Southpaw
Joshua Van,165.1,56.7,165.1,Orthodox
Felipe Bunes,170.18,56.7,175.26,Orthodox
Leon Edwards,187.96,77.11,187.96,Southpaw
Colby Covington,180.34,77.11,182.88,Orthodox
Alexandre Pantoja,165.1,56.7,170.18,Orthodox
Shavkat Rakhmonov,185.42,77.11,195.58,Orthodox
Stephen Thompson,182.88,77.11,190.5,Orthodox
Tony Ferguson,180.34,70.31,193.04,Orthodox
Paddy Pimblett,177.8,70.31,185.42,Orthodox
Josh Emmett,167.64,65.77,177.8,Orthodox
Bryce Mitchell,177.8,65.77,177.8,Southpaw
Alonzo Menifield,182.88,92.99,193.04,Orthodox
Dustin Jacoby,190.5,92.99,193.04,Orthodox
Irene Aldana,175.26,61.23,172.72,Orthodox
Karol Rosa,165.1,61.23,170.18,Orthodox
Cody Garbrandt,172.72,61.23,165.1,Orthodox
Brian Kelleher,167.64,61.23,167.64,Switch
Casey O'Neill,167.64,56.7,175.26,Orthodox
Ariane Lipski,167.64,56.7,170.18,Orthodox
Tagir Ulanbekov,170.18,56.7,177.8,Southpaw
Cody Durden,170.18,56.7,170.18,Southpaw
Lucas Almeida,180.34,65.77,180.34,Orthodox
Martin Buday,193.04,120.2,195.58,Orthodox
Chris Gutierrez,175.26,61.23,170.18,Orthodox
Anthony Smith,193.04,92.99,193.04,Orthodox
Khalil Rountree Jr.,185.42,92.99,193.04,Southpaw
