name,height,weight,reach,stance
Marcos Rogerio de Lima,185.42,114.76,190.5,1
Junior Tafa,190.5,108.86,190.5,1
Rinya Nakamura,170.18,61.23,172.72,3
Carlos Vera,167.64,61.23,175.26,1
Zhang Mingyang,187.96,92.99,190.5,1
Brendson Ribeiro,190.5,92.99,205.74,1
Josh Quinlan,182.88,77.11,182.88,1
Danny Barlow,187.96,77.11,200.66,3
Oban Elliott,182.88,77.11,182.88,1
Val Woodburn,172.72,77.11,187.96,1
Andrea Lee,167.64,56.7,175.26,1
Miranda Maverick,160.02,56.7,165.1,3
Jack Hermansson,185.42,83.91,195.58,1
Joe Pyfer,187.96,83.91,190.5,1
Dan Ige,170.18,65.77,180.34,1
Andre Fili,180.34,65.77,187.96,1
Robert Bryczek,182.88,83.91,190.5,1
Ihor Potieria,190.5,83.91,190.5,3
Brad Tavares,185.42,83.91,187.96,1
Gregory Rodrigues,190.5,83.91,190.5,1
Michael Johnson,177.8,70.31,185.42,3
Darrius Flowers,175.26,70.31,180.34,1
Rodolfo Vieira,182.88,83.91,185.42,1
Armen Petrosyan,190.5,83.91,180.34,1
Trevin Giles,182.88,77.11,187.96,1
Carlos Prates,185.42,77.11,198.12,4
Bolaji Oki,177.8,70.31,185.42,1
Timmy Cuamba,175.26,70.31,180.34,1
Loma Lookboonmee,154.94,52.16,154.94,1
Bruna Brasil,167.64,52.16,165.1,1
Devin Clark,182.88,92.99,190.5,1
Marcin Prachnio,190.5,92.99,187.96,1
Max Griffin,180.34,77.11,193.04,1
Jeremiah Wells,175.26,77.11,187.96,4
Zac Pauga,187.96,92.99,193.04,1
Bogdan Guskov,190.5,92.99,193.04,1
Fernie Garcia,170.18,61.23,170.18,1
Hyder Amil,175.26,65.77,177.8,4
Roman Dolidze,187.96,83.91,193.04,1
Nassourdine Imavov,190.5,83.91,190.5,1
Renato Moicano,180.34,70.31,182.88,1
Drew Dober,172.72,70.31,177.8,3
Randy Brown,190.5,77.11,198.12,1
Muslim Salikhov,180.34,77.11,177.8,1
Viviane Araujo,162.56,56.7,172.72,1
Natalia Silva,162.56,56.7,165.1,3
Gilbert Urbina,190.5,77.11,190.5,1
Charles Radtke,175.26,77.11,182.88,1
Molly McCann,162.56,52.16,157.48,1
Diana Belbita,170.18,52.16,172.72,1
Azat Maksum,170.18,56.7,177.8,3
Charles Johnson,175.26,56.7,177.8,4
Themba Gorimbo,185.42,77.11,195.58,1
Pete Rodriguez,175.26,77.11,180.34,4
